Source,Pathway,Overlap,Background,Odds_Ratio,P_Value,Mean_Posterior,Genes,Adjusted_P
Reactome,Cell Cycle Checkpoints R-HSA-69620,1,269,3.578066914498141,0.24642208276709934,0.00017698147,ANAPC16,0.30741764780846054
Reactome,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,1,323,2.979876160990712,0.28860728242427336,0.00011121887,F2R,0.3565148782888083
Reactome,Transcriptional Regulation By TP53 R-HSA-3700989,1,353,2.726628895184136,0.31109706234954915,0.00010671357,E2F4,0.37331647481945895
Reactome,M Phase R-HSA-68886,1,375,2.566666666666667,0.32717327004378344,0.00017698147,ANAPC16,0.3889040757124218
Reactome,Generic Transcription Pathway R-HSA-212436,2,1185,1.6244725738396621,0.3529592440629124,0.00014184752,"ANAPC16, E2F4",0.415634250018009
Reactome,RHO GTPase Cycle R-HSA-9012999,1,439,2.19248291571754,0.37200549780483,0.000103555896,NDUFA5,0.434006414105635
Reactome,Signaling By Interleukins R-HSA-449147,1,452,2.129424778761062,0.3807704223248276,0.00015805534,FSCN1,0.43692215930677336
Reactome,GPCR Ligand Binding R-HSA-500792,1,453,2.1247240618101544,0.38143998034718307,0.00011121887,F2R,0.43692215930677336
Reactome,RNA Polymerase II Transcription R-HSA-73857,2,1307,1.4728385615914308,0.4009917321390565,0.00014184752,"ANAPC16, E2F4",0.4551798040497398
Reactome,Nervous System Development R-HSA-9675108,1,543,1.7725598526703499,0.4390537143407808,0.000101731275,PXMP2,0.4939354286333784
Reactome,Gene Expression (Transcription) R-HSA-74160,2,1444,1.3331024930747921,0.45346055957014764,0.00014184752,"ANAPC16, E2F4",0.5056285885472442
Reactome,Hemostasis R-HSA-109582,1,575,1.6739130434782608,0.4583229597701233,0.00011121887,F2R,0.5065674818511888
Reactome,GPCR Downstream Signaling R-HSA-388396,1,615,1.565040650406504,0.48155586112930665,0.00011121887,F2R,0.5276177261068925
Reactome,Signaling By Rho GTPases R-HSA-194315,1,638,1.5086206896551724,0.49449753299715227,0.000103555896,NDUFA5,0.5371266306693206
