Feature,MI
EXP_SLC25A13 (10165),0.1707470181560513
EXP_ZNF488 (118738),0.17074514582753153
EXP_APOL3 (80833),0.1707280595174261
EXP_EML3 (256364),0.17072239896578978
EXP_ATPSCKMT (134145),0.17071807427921915
EXP_CLDND1 (56650),0.17071621363288525
EXP_PEDS1 (387521),0.170713795611257
EXP_CEP95 (90799),0.1707002508792268
EXP_PDE10A (10846),0.170699712458938
EXP_U2AF1 (7307),0.17069954336962034
EXP_DR1 (1810),0.1706954785010133
EXP_FLYWCH2 (114984),0.1706919063625323
EXP_BCAP29 (55973),0.17067747799536903
EXP_MAPKAPK3 (7867),0.17067273459754517
EXP_MRPS27 (23107),0.17066864093660783
EXP_ARRB1 (408),0.1706639436122126
EXP_PIP5K1C (23396),0.1706602488158353
EXP_TCTN3 (26123),0.17065766107738334
EXP_IGF1R (3480),0.1706568002772988
EXP_ABI1 (10006),0.17064926082674514
EXP_COX4I1 (1327),0.170641272858159
EXP_ANXA6 (309),0.1706300440611228
EXP_SELPLG (6404),0.17062213492616607
EXP_FLOT1 (10211),0.17061058386857653
EXP_CGAS (115004),0.17060188409282162
EXP_B3GNTL1 (146712),0.17060143495227376
EXP_ALG11 (440138),0.1705975314834216
EXP_TESK2 (10420),0.17059701616384615
EXP_CUL2 (8453),0.1705955167862241
EXP_CRACD (57482),0.17059395088392204
EXP_PCBP1 (5093),0.1705890243863566
EXP_SCG2 (7857),0.1705805941409011
EXP_TRIM25 (7706),0.1705731428380135
EXP_LRCH1 (23143),0.17057043140460948
EXP_DNAJC13 (23317),0.1705702925133643
EXP_SLC31A1 (1317),0.1705694575153025
EXP_PKDREJ (10343),0.17055495966194023
EXP_DHX33 (56919),0.17054800064904452
EXP_ATP7A (538),0.17054525120155262
EXP_CD37 (951),0.17053593433332637
EXP_CUL3 (8452),0.17052155388897727
EXP_HID1 (283987),0.17050256555097043
EXP_NUP188 (23511),0.17049848268414358
EXP_ARHGAP45 (23526),0.17049612524436153
EXP_CAMLG (819),0.17049545762517937
EXP_H3C2 (8358),0.1704941713693202
EXP_DENND4A (10260),0.17048436499979758
EXP_TMEM35B (100506144),0.17048316844393785
EXP_POLA1 (5422),0.17048107291978187
EXP_CREB1 (1385),0.1704694368721018
EXP_HCN3 (57657),0.1704642597098207
EXP_DCLRE1C (64421),0.17046381830059065
EXP_MED15 (51586),0.17046111584240453
EXP_KIF5A (3798),0.1704446539037212
EXP_DNAJC25 (548645),0.17044420192807852
EXP_APOL2 (23780),0.1704439125585937
EXP_MYH11 (4629),0.17043442152123678
EXP_LAPTM4A (9741),0.17042619484476962
EXP_RAB3GAP1 (22930),0.17040817113010664
EXP_TCEA2 (6919),0.17040394118396218
EXP_RASSF8 (11228),0.17040360846714186
EXP_LIG1 (3978),0.17040355866349355
EXP_MTFMT (123263),0.17039855391871228
EXP_SEC16A (9919),0.17039190478713984
EXP_CDC16 (8881),0.17039187187091276
EXP_INPP5E (56623),0.17038805867049422
EXP_RBM43 (375287),0.17038570642570594
EXP_CORO6 (84940),0.17038510455835
EXP_UBXN1 (51035),0.17038082390580112
EXP_MIER3 (166968),0.17037743920455206
EXP_TRIM29 (23650),0.17037733963079482
EXP_NFE2L2 (4780),0.17037183726482397
EXP_PHPT1 (29085),0.1703701468828802
EXP_SLC16A14 (151473),0.1703679075150175
EXP_RPS3A (6189),0.17036706612835495
EXP_KIAA0040 (9674),0.17036523393975944
EXP_RBM27 (54439),0.17035658895454997
EXP_MGAT2 (4247),0.17035631596136636
EXP_ZFYVE9 (9372),0.17035197580694206
EXP_POC1B (282809),0.17034559155518814
EXP_TMEM221 (100130519),0.17034263214816203
EXP_OSCP1 (127700),0.170338164559511
EXP_CABLES1 (91768),0.17033722386440342
EXP_PIGN (23556),0.17033353825447062
EXP_SSC4D (136853),0.17033286787999824
EXP_PLPP3 (8613),0.1703323091421165
EXP_SOX7 (83595),0.17032677283302977
EXP_RPGR (6103),0.1703167065093858
EXP_PROCR (10544),0.1703118317491743
EXP_PRKD2 (25865),0.1702841681828824
EXP_POLE4 (56655),0.17028226300490967
EXP_EEF2K (29904),0.1702810054226367
EXP_ATP6V1E1 (529),0.1702764963322494
