Gene,GeneID
ZFR,751
ZNF280C,752
NPFFR2,753
PHF21B,754
TRAF1,755
RC3H2,756
IL17RB,757
TRAF3IP2,758
GYG2,759
DCBLD2,760
SERPINB3,761
SOAT1,762
PKP2,763
MSH4,764
F7,765
GDI2,766
PRDM1,767
ATG5,768
TMCC3,769
PITHD1,770
MTA3,771
USP13,772
ATP11B,773
LAMC2,774
CDK14,775
SEC61A1,776
PPP1R12A,777
RASGRF1,778
CAMK2B,779
CROCC,780
POLR3E,781
ATP2B4,782
ZC3H11A,783
RIOK2,784
YIPF1,785
NDC1,786
DGKG,787
FLYWCH1,788
UNKL,789
TBXAS1,790
PARP12,791
ALDH18A1,792
TARBP1,793
GATB,794
MXD1,795
CDK17,796
DNAJC25,797
SLC2A3,798
PSD,799
CTDP1,800
YBX3,801
STYK1,802
WNK1,803
CCAR1,804
OGFR,805
GNA15,806
CREB3L3,807
PIGV,808
PTPRU,809
SNRNP40,810
RIMBP2,811
COL11A1,812
QSER1,813
MPC1,814
ACAA1,815
BCAT1,816
HDAC7,817
LZTS1,818
PRDM6,819
WNT8A,820
SPAG4,821
NCKAP1,822
MRPS35,823
GUCY1B1,824
SFSWAP,825
TNK2,826
MON2,827
CDH3,828
ARSF,829
GPBP1,830
DGAT2,831
ZNF112,832
CS,833
LTK,834
MRPS24,835
ELMO2,836
WAPL,837
VMP1,838
APPBP2,839
POLD1,840
SEZ6,841
EIF4B,842
SLC6A16,843
BICRA,844
SPHK2,845
RPL18,846
CA11,847
ISOC2,848
U2AF2,849
EPN1,850
MED29,851
AHRR,852
GSC2,853
ZNF275,854
MTMR1,855
GPC1,856
ADCK1,857
HAGH,858
RNF4,859
CASP8,860
LIMCH1,861
INTS13,862
TM7SF3,863
DLX3,864
SPA17,865
TSPAN32,866
CCN5,867
DMRT3,868
ST3GAL6,869
ATP2C2,870
NGFR,871
CDON,872
TAF2,873
HIPK2,874
TNPO3,875
RFXANK,876
TMEM161A,877
LPAR2,878
CTSA,879
SUGP2,880
SLC12A2,881
SNX24,882
EYA2,883
CNN2,884
ABCA7,885
SNCAIP,886
DDX20,887
BTBD1,888
FAR2,889
BCAS1,890
POU1F1,891
CHI3L2,892
SBNO2,893
PMS1,894
HMG20B,895
CALCRL,896
TAF11,897
ANKS1A,898
AP3D1,899
ZNF76,900
NHERF2,901
NTHL1,902
BLTP3A,903
GNAI3,904
IPO5,905
OAT,906
WDR3,907
PKN2,908
WDR18,909
TRAM2,910
NTN1,911
GLP2R,912
MCM10,913
DGKA,914
ERBB3,915
ROPN1,916
ANKRD44,917
KARS1,918
ADAT1,919
PDIA5,920
TBC1D22B,921
NDUFB4,922
SPEN,923
MYLK,924
ZC3H15,925
MAP2K4,926
PACC1,927
SNAP91,928
SLK,929
CYB5R4,930
COL17A1,931
GSTO2,932
SEC61A2,933
PRKCQ,934
TLE2,935
ASB1,936
FAM107B,937
ME1,938
TBC1D1,939
CDK13,940
MTHFD2,941
SLC9A7,942
FOXJ2,943
YBX1,944
PDE4A,945
PPP2R5A,946
CTNNA2,947
ELAVL1,948
TIE1,949
DIP2B,950
SMARCD1,951
KDM4A,952
NFYC,953
ZMYND12,954
SLC9A3,955
NGEF,956
ASPM,957
CD84,958
ELOVL1,959
SPI1,960
POLR1H,961
MPPED2,962
CLDN18,963
ZBTB11,964
ATXN3,965
GOLGA5,966
FGFR2,967
LRRC40,968
ISOC1,969
EML1,970
TRMT11,971
THUMPD1,972
MSANTD3,973
KIF26A,974
ATG2B,975
ARFGEF1,976
ZFAT,977
MTFR1,978
STAG3,979
FECH,980
MYO9A,981
DDX3Y,982
PFKP,983
IDI1,984
SP100,985
KLF6,986
PLPP1,987
NEO1,988
TRAM1,989
PHKA1,990
TNFRSF1A,991
CACNB1,992
EVI5,993
STOML1,994
PKM,995
DHX29,996
DNTTIP2,997
METTL22,998
TP53BP1,999
TRO,1000
RRP15,1001
RHOA,1002
DHX8,1003
PRKCZ,1004
ZFY,1005
IARS2,1006
SYT1,1007
NAV3,1008
IDH3G,1009
ROGDI,1010
PDZD4,1011
ATP2B3,1012
ROCK1,1013
CBFB,1014
PDK3,1015
HYAL2,1016
HDAC4,1017
RASSF1,1018
FGFR3,1019
IFI35,1020
HEATR6,1021
COASY,1022
PLEKHH3,1023
MEF2A,1024
OTUD5,1025
TFE3,1026
TBC1D25,1027
ACSL4,1028
INPP5A,1029
GPKOW,1030
GRIPAP1,1031
FTSJ1,1032
PRR11,1033
REEP1,1034
ATP11A,1035
POLR1A,1036
LAPTM4A,1037
TTC7A,1038
IP6K2,1039
SRBD1,1040
KIF2A,1041
RASGRP2,1042
PSME4,1043
IFT80,1044
SIRT2,1045
ERLEC1,1046
PPP2R5B,1047
PYGM,1048
PAGE1,1049
PITX1,1050
TRPC7,1051
MAST4,1052
ADGRF5,1053
SDK2,1054
ADAM7,1055
NUP133,1056
NUCKS1,1057
VPS35,1058
DNAJA2,1059
BCL3,1060
KCNAB2,1061
ABCC9,1062
GAL,1063
CLEC2D,1064
FUNDC1,1065
MAOB,1066
RORA,1067
DRD4,1068
TGFBR3,1069
PLA2G10,1070
HES2,1071
ATP1B3,1072
NEDD4,1073
PIGB,1074
MAPK6,1075
GNB5,1076
RAB27A,1077
HDHD5,1078
UFD1,1079
LRP6,1080
GUCY2C,1081
SCT,1082
PHRF1,1083
ELP1,1084
NUCB2,1085
PFN2,1086
PTPN3,1087
SPTB,1088
DAPP1,1089
FGF10,1090
SLC44A1,1091
TMEM260,1092
SMG6,1093
EXOC5,1094
CLTCL1,1095
FGF22,1096
FSTL3,1097
DGCR2,1098
RNF126,1099
MNT,1100
ZXDC,1101
JMJD6,1102
POLB,1103
ST6GALNAC1,1104
WIPI1,1105
FRMPD1,1106
GBA2,1107
NDST1,1108
ASNS,1109
AP3M2,1110
CNGB1,1111
ST6GALNAC2,1112
CHAT,1113
PABPC1,1114
TESK2,1115
CFAP20,1116
CSNK2A2,1117
PTPN21,1118
EIF2B3,1119
CAMK2A,1120
TCOF1,1121
CDC42,1122
OSBPL3,1123
EPHA8,1124
SLC12A3,1125
RAD18,1126
ATP2B1,1127
TRPM5,1128
NCK2,1129
MAP4K4,1130
MGAT4A,1131
RPL31,1132
WDR1,1133
SNX13,1134
MS4A12,1135
ARHGAP10,1136
RPS6KA2,1137
ING3,1138
VASH1,1139
LMCD1,1140
BUD23,1141
SEL1L,1142
TRIP13,1143
ATP6AP1,1144
TCF3,1145
TRIB2,1146
DAZAP1,1147
MBD3,1148
PRLH,1149
HLTF,1150
FAM50A,1151
FAM3A,1152
CPSF1,1153
MYO3B,1154
CYBRD1,1155
CDH19,1156
PDCD2,1157
SLC6A15,1158
RDH11,1159
PRKACA,1160
ADGRL1,1161
SPP2,1162
ACTN1,1163
ZFYVE26,1164
RPS6KA6,1165
EPN2,1166
PTPN18,1167
LIMS2,1168
ASIC4,1169
SPEG,1170
LNX1,1171
ALDH3A2,1172
TFRC,1173
SREBF1,1174
TRPC5,1175
AFF4,1176
UBE2D1,1177
PALS1,1178
RHOBTB1,1179
SMC1A,1180
HSD17B10,1181
MARK2,1182
HMMR,1183
CHFR,1184
TRHDE,1185
P4HA2,1186
FCGR2B,1187
NFATC3,1188
TRNT1,1189
ACADVL,1190
STK10,1191
FBXW11,1192
ACAP1,1193
CRMP1,1194
EVC,1195
DERL2,1196
SIDT1,1197
NDE1,1198
IRAG1,1199
TMEM38A,1200
AP1M1,1201
PVR,1202
XRCC1,1203
SCARB1,1204
CYP2W1,1205
MCM2,1206
MOV10L1,1207
PANX2,1208
SELENOO,1209
TP63,1210
ALPK1,1211
LLGL2,1212
PDE8A,1213
CLCN4,1214
NLE1,1215
SDHA,1216
SMARCE1,1217
FNDC8,1218
GSDMB,1219
KDM5A,1220
ADAM11,1221
PPP2R3A,1222
FERMT2,1223
ABCB11,1224
DHRS9,1225
CD5L,1226
PTGS2,1227
IGF2BP2,1228
MAP3K13,1229
ST6GAL1,1230
TBX21,1231
FRY,1232
PICALM,1233
NSF,1234
GLI2,1235
CLASP1,1236
MRPS34,1237
NOTCH3,1238
CLNS1A,1239
PPP2R2C,1240
TEAD2,1241
EED,1242
CDHR2,1243
SNCB,1244
TSG101,1245
NCBP3,1246
ATP2A3,1247
CA12,1248
MGLL,1249
NTN4,1250
BCS1L,1251
NUAK1,1252
DPP8,1253
SLC24A1,1254
ZNF532,1255
SCARF1,1256
LMAN1,1257
HACD3,1258
IPCEF1,1259
ZZEF1,1260
NOX3,1261
ENO1,1262
SLC12A1,1263
MYDGF,1264
ANO8,1265
TUBE1,1266
ARHGEF10L,1267
TXK,1268
WSCD2,1269
KCNQ2,1270
TACR2,1271
ACTR6,1272
TIPIN,1273
SRI,1274
EIF4G3,1275
NUP37,1276
SEMA3A,1277
GTSE1,1278
SEMA3C,1279
TTC38,1280
ACAT1,1281
GRAMD4,1282
CELSR1,1283
WNT8B,1284
ZNF638,1285
SLC25A40,1286
TIMM21,1287
ADD2,1288
FGF4,1289
RASAL2,1290
VPS9D1,1291
ZNF37A,1292
MARK3,1293
SLC25A3,1294
FNDC3B,1295
FOSL2,1296
CACNG5,1297
CACNG4,1298
FRYL,1299
TMEM131,1300
FSCN1,1301
ACTB,1302
MOCOS,1303
PLD1,1304
ATP12A,1305
WDR62,1306
DLG1,1307
RAB7A,1308
BCAP29,1309
SEC31B,1310
SART3,1311
ARHGAP15,1312
TUBA3D,1313
PAX2,1314
EXOSC7,1315
KIFAP3,1316
MKRN2,1317
MCM6,1318
REXO2,1319
RBM7,1320
RBMS2,1321
BAZ2A,1322
PTPN23,1323
MLH1,1324
UNG,1325
FMO4,1326
KLHL20,1327
RGS11,1328
SLC46A1,1329
PLXNA2,1330
SPAG5,1331
ANKRD13A,1332
TPD52,1333
ACACB,1334
TRAF4,1335
PAG1,1336
GPATCH1,1337
ICAM3,1338
NT5C2,1339
MCAM,1340
GPC4,1341
MBNL3,1342
CAMSAP3,1343
RAP1GAP,1344
XAB2,1345
ARHGEF1,1346
STXBP2,1347
MAP2K7,1348
NMRK2,1349
DGKD,1350
CTTNBP2,1351
ACTL6B,1352
RARB,1353
TOP2B,1354
TM9SF3,1355
NFKB2,1356
UBE2T,1357
PPP1R12B,1358
DNAJC10,1359
GTF3C1,1360
IL4R,1361
USP33,1362
PAK3,1363
CAPN6,1364
DCX,1365
SNRPA,1366
SPAG6,1367
EXOSC5,1368
DYNC1I2,1369
APBB1IP,1370
LRCH4,1371
FAM76B,1372
SIRT6,1373
TYR,1374
POLD3,1375
ACTN2,1376
CAPZB,1377
GPR137B,1378
NAALAD2,1379
JADE1,1380
SLC25A43,1381
UBE2A,1382
FGFR1,1383
FKBP6,1384
SMC1B,1385
FBLN1,1386
ITGA8,1387
CST7,1388
MAP2,1389
PIAS2,1390
AMPH,1391
ARAF,1392
MCCC1,1393
LAMP3,1394
FAP,1395
NEBL,1396
ACER3,1397
UBE2K,1398
PIK3C3,1399
N4BP2,1400
TIGAR,1401
TULP3,1402
SYNJ2,1403
ADCY2,1404
PPP2R5C,1405
RBFOX1,1406
GNB1,1407
HOXA9,1408
EDN1,1409
MLLT10,1410
ZCWPW1,1411
ADCYAP1R1,1412
FGF20,1413
P2RY10,1414
ITM2A,1415
NRDC,1416
VDAC3,1417
PCM1,1418
TNRC6C,1419
CBFA2T2,1420
BRINP1,1421
ITCH,1422
PKD2L2,1423
TP53INP2,1424
SDF4,1425
MYH7B,1426
BPIFB2,1427
TP73,1428
TOLLIP,1429
UBE2D4,1430
CLUL1,1431
RUNX1T1,1432
CDH17,1433
THOC1,1434
FKBP7,1435
OSBPL6,1436
SLC1A3,1437
XRCC5,1438
LXN,1439
SP140,1440
MKNK1,1441
TNS1,1442
REXO1,1443
SAR1A,1444
CDC14A,1445
RAPGEF3,1446
CEACAM1,1447
SENP1,1448
DUSP13B,1449
CIC,1450
LIPE,1451
FDFT1,1452
PAFAH1B3,1453
OPHN1,1454
AFM,1455
KIF22,1456
SCGN,1457
CARMIL1,1458
PGM1,1459
DDX1,1460
DNM2,1461
EPB41L2,1462
RIMS1,1463
MOXD1,1464
STX7,1465
RABL2B,1466
KEAP1,1467
DDX43,1468
PTPRH,1469
DCT,1470
SLC35C2,1471
CRYBG3,1472
EPHA6,1473
SCTR,1474
RFX3,1475
RIF1,1476
RAB21,1477
SLC4A4,1478
SMARCA2,1479
RDH8,1480
SESN1,1481
MID2,1482
DNAAF6,1483
COL5A3,1484
SRCAP,1485
PUM3,1486
CPB2,1487
CHRNA3,1488
KCNN2,1489
CNOT4,1490
PSEN1,1491
CPOX,1492
CLDND1,1493
MOK,1494
HSP90AA1,1495
RBL1,1496
DLGAP4,1497
IGSF9B,1498
CFHR2,1499
NDC80,1500
AP4E1,1501
RSBN1,1502
MAGI3,1503
CXCL2,1504
AFP,1505
COL4A4,1506
TCF7,1507
OSTM1,1508
CDH7,1509
IMPG2,1510
PCNP,1511
EXD2,1512
ARG2,1513
MEF2C,1514
PTPRC,1515
CACNA1S,1516
PKP1,1517
UBA5,1518
STK17B,1519
CDC14B,1520
ZNF510,1521
LRP2,1522
ZNF506,1523
JMJD4,1524
DUSP12,1525
AACS,1526
DELE1,1527
SLC13A1,1528
CADPS2,1529
IFT25,1530
PHLPP1,1531
ATP8B1,1532
IL12RB2,1533
SMARCD3,1534
WDR70,1535
FYB1,1536
