Pathway,Source,PathwayID
Apoptotic Factor-Mediated Response R-HSA-111471,Reactome,120
Aquaporin-mediated Transport R-HSA-445717,Reactome,121
Arachidonate Production From DAG R-HSA-426048,Reactome,122
Arachidonic Acid Metabolism R-HSA-2142753,Reactome,123
Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,Reactome,124
Asparagine N-linked Glycosylation R-HSA-446203,Reactome,125
Aspartate And Asparagine Metabolism R-HSA-8963693,Reactome,126
Aspirin ADME R-HSA-9749641,Reactome,127
Assembly Of HIV Virion R-HSA-175474,Reactome,128
Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736,Reactome,129
Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889,Reactome,130
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Reactome,131
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,132
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,133
Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,Reactome,134
Asymmetric Localization Of PCP Proteins R-HSA-4608870,Reactome,135
Atorvastatin ADME R-HSA-9754706,Reactome,136
Attachment And Entry R-HSA-9678110,Reactome,137
Attachment Of GPI Anchor To uPAR R-HSA-162791,Reactome,138
Attenuation Phase R-HSA-3371568,Reactome,139
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,Reactome,140
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Reactome,141
Autophagy R-HSA-9612973,Reactome,142
Axon Guidance R-HSA-422475,Reactome,143
Axonal Growth Inhibition (RHOA Activation) R-HSA-193634,Reactome,144
Azathioprine ADME R-HSA-9748787,Reactome,145
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,146
BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922,Reactome,147
BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453,Reactome,148
"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",Reactome,149
Base Excision Repair R-HSA-73884,Reactome,150
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,151
Basigin Interactions R-HSA-210991,Reactome,152
Beta Defensins R-HSA-1461957,Reactome,153
Beta Oxidation Of butanoyl-CoA To acetyl-CoA R-HSA-77352,Reactome,154
Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA R-HSA-77346,Reactome,155
Beta Oxidation Of hexanoyl-CoA To butanoyl-CoA R-HSA-77350,Reactome,156
Beta Oxidation Of lauroyl-CoA To decanoyl-CoA-CoA R-HSA-77310,Reactome,157
Beta Oxidation Of octanoyl-CoA To hexanoyl-CoA R-HSA-77348,Reactome,158
Beta-catenin Independent WNT Signaling R-HSA-3858494,Reactome,159
Beta-catenin Phosphorylation Cascade R-HSA-196299,Reactome,160
Beta-oxidation Of pristanoyl-CoA R-HSA-389887,Reactome,161
Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247,Reactome,162
Bicarbonate Transporters R-HSA-425381,Reactome,163
Bile Acid And Bile Salt Metabolism R-HSA-194068,Reactome,164
