Pathway,Source,PathwayID
Laminin Interactions R-HSA-3000157,Reactome,806
Late Phase Of HIV Life Cycle R-HSA-162599,Reactome,807
Late SARS-CoV-2 Infection Events R-HSA-9772573,Reactome,808
Late Endosomal Microautophagy R-HSA-9615710,Reactome,809
Leading Strand Synthesis R-HSA-69109,Reactome,810
Lectin Pathway Of Complement Activation R-HSA-166662,Reactome,811
Leishmania Infection R-HSA-9658195,Reactome,812
Leukotriene Receptors R-HSA-391906,Reactome,813
Lewis Blood Group Biosynthesis R-HSA-9037629,Reactome,814
Ligand-receptor Interactions R-HSA-5632681,Reactome,815
Linoleic Acid (LA) Metabolism R-HSA-2046105,Reactome,816
Lipid Particle Organization R-HSA-8964572,Reactome,817
Lipophagy R-HSA-9613354,Reactome,818
Listeria Monocytogenes Entry Into Host Cells R-HSA-8876384,Reactome,819
Long-term Potentiation R-HSA-9620244,Reactome,820
Loss Of Function Of SMAD2/3 In Cancer R-HSA-3304349,Reactome,821
Loss Of Function Of TGFBR1 In Cancer R-HSA-3656534,Reactome,822
Loss Of MECP2 Binding Ability To NCoR/SMRT Complex R-HSA-9022537,Reactome,823
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,Reactome,824
Lysine Catabolism R-HSA-71064,Reactome,825
Lysosome Vesicle Biogenesis R-HSA-432720,Reactome,826
Lysosphingolipid And LPA Receptors R-HSA-419408,Reactome,827
M Phase R-HSA-68886,Reactome,828
MAP Kinase Activation R-HSA-450294,Reactome,829
MAP2K And MAPK Activation R-HSA-5674135,Reactome,830
MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264,Reactome,831
MAPK Family Signaling Cascades R-HSA-5683057,Reactome,832
MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282,Reactome,833
MAPK1 (ERK2) Activation R-HSA-112411,Reactome,834
MAPK1/MAPK3 Signaling R-HSA-5684996,Reactome,835
MAPK3 (ERK1) Activation R-HSA-110056,Reactome,836
MAPK6/MAPK4 Signaling R-HSA-5687128,Reactome,837
MASTL Facilitates Mitotic Progression R-HSA-2465910,Reactome,838
MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699,Reactome,839
MECP2 Regulates Transcription Factors R-HSA-9022707,Reactome,840
MECP2 Regulates Transcription Of Neuronal Ligands R-HSA-9022702,Reactome,841
MET Receptor Activation R-HSA-6806942,Reactome,842
MET Activates PI3K/AKT Signaling R-HSA-8851907,Reactome,843
MET Activates PTK2 Signaling R-HSA-8874081,Reactome,844
MET Activates PTPN11 R-HSA-8865999,Reactome,845
MET Activates RAP1 And RAC1 R-HSA-8875555,Reactome,846
MET Activates RAS Signaling R-HSA-8851805,Reactome,847
MET Interacts With TNS Proteins R-HSA-8875513,Reactome,848
MET Promotes Cell Motility R-HSA-8875878,Reactome,849
MET Receptor Recycling R-HSA-8875656,Reactome,850
MHC Class II Antigen Presentation R-HSA-2132295,Reactome,851
MTOR Signaling R-HSA-165159,Reactome,852
Macroautophagy R-HSA-1632852,Reactome,853
Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,Reactome,854
Maturation Of Nucleoprotein R-HSA-9683610,Reactome,855
Maturation Of Protein 3A R-HSA-9683673,Reactome,856
Maturation Of Spike Protein R-HSA-9683686,Reactome,857
Meiosis R-HSA-1500620,Reactome,858
Meiotic Recombination R-HSA-912446,Reactome,859
Meiotic Synapsis R-HSA-1221632,Reactome,860
Melanin Biosynthesis R-HSA-5662702,Reactome,861
Membrane Trafficking R-HSA-199991,Reactome,862
Membrane Binding And Targetting Of GAG Proteins R-HSA-174490,Reactome,863
Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029,Reactome,864
Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377,Reactome,865
Metabolism Of RNA R-HSA-8953854,Reactome,866
Metabolism Of Amine-Derived Hormones R-HSA-209776,Reactome,867
Metabolism Of Amino Acids And Derivatives R-HSA-71291,Reactome,868
Metabolism Of Carbohydrates R-HSA-71387,Reactome,869
Metabolism Of Cofactors R-HSA-8978934,Reactome,870
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667,Reactome,871
Metabolism Of Folate And Pterines R-HSA-196757,Reactome,872
"Metabolism Of Ingested SeMet, Sec, MeSec Into H2Se R-HSA-2408508",Reactome,873
Metabolism Of Lipids R-HSA-556833,Reactome,874
Metabolism Of Nitric Oxide: NOS3 Activation And Regulation R-HSA-202131,Reactome,875
Metabolism Of Non-Coding RNA R-HSA-194441,Reactome,876
Metabolism Of Nucleotides R-HSA-15869,Reactome,877
Metabolism Of Polyamines R-HSA-351202,Reactome,878
Metabolism Of Porphyrins R-HSA-189445,Reactome,879
Metabolism Of Proteins R-HSA-392499,Reactome,880
Metabolism Of Steroid Hormones R-HSA-196071,Reactome,881
Metabolism Of Steroids R-HSA-8957322,Reactome,882
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,883
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,Reactome,884
Metal Ion SLC Transporters R-HSA-425410,Reactome,885
Metal Sequestration By Antimicrobial Proteins R-HSA-6799990,Reactome,886
Metalloprotease DUBs R-HSA-5689901,Reactome,887
Metallothioneins Bind Metals R-HSA-5661231,Reactome,888
Methionine Salvage Pathway R-HSA-1237112,Reactome,889
Methylation R-HSA-156581,Reactome,890
MicroRNA (miRNA) Biogenesis R-HSA-203927,Reactome,891
Microbial Modulation Of RIPK1-mediated Regulated Necrosis R-HSA-9686347,Reactome,892
Mineralocorticoid Biosynthesis R-HSA-193993,Reactome,893
Miro GTPase Cycle R-HSA-9715370,Reactome,894
Miscellaneous Substrates R-HSA-211958,Reactome,895
Miscellaneous Transport And Binding Events R-HSA-5223345,Reactome,896
Mismatch Repair R-HSA-5358508,Reactome,897
Mismatch Repair (MMR) Directed By MSH2:MSH3 (MutSbeta) R-HSA-5358606,Reactome,898
Mismatch Repair (MMR) Directed By MSH2:MSH6 (MutSalpha) R-HSA-5358565,Reactome,899
Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289,Reactome,900
Mitochondrial Uncoupling R-HSA-166187,Reactome,901
Mitochondrial Biogenesis R-HSA-1592230,Reactome,902
Mitochondrial Calcium Ion Transport R-HSA-8949215,Reactome,903
Mitochondrial Iron-Sulfur Cluster Biogenesis R-HSA-1362409,Reactome,904
Mitochondrial Protein Import R-HSA-1268020,Reactome,905
Mitochondrial tRNA Aminoacylation R-HSA-379726,Reactome,906
Mitochondrial Translation R-HSA-5368287,Reactome,907
Mitochondrial Translation Elongation R-HSA-5389840,Reactome,908
Mitochondrial Translation Initiation R-HSA-5368286,Reactome,909
Mitochondrial Translation Termination R-HSA-5419276,Reactome,910
Mitophagy R-HSA-5205647,Reactome,911
Mitotic Anaphase R-HSA-68882,Reactome,912
Mitotic G1 Phase And G1/S Transition R-HSA-453279,Reactome,913
Mitotic G2-G2/M Phases R-HSA-453274,Reactome,914
Mitotic Metaphase And Anaphase R-HSA-2555396,Reactome,915
Mitotic Prometaphase R-HSA-68877,Reactome,916
Mitotic Prophase R-HSA-68875,Reactome,917
Mitotic Spindle Checkpoint R-HSA-69618,Reactome,918
Mitotic Telophase/Cytokinesis R-HSA-68884,Reactome,919
Modulation By Mtb Of Host Immune System R-HSA-9637628,Reactome,920
Molecules Associated With Elastic Fibres R-HSA-2129379,Reactome,921
Molybdenum Cofactor Biosynthesis R-HSA-947581,Reactome,922
Mucopolysaccharidoses R-HSA-2206281,Reactome,923
Multifunctional Anion Exchangers R-HSA-427601,Reactome,924
Muscarinic Acetylcholine Receptors R-HSA-390648,Reactome,925
Muscle Contraction R-HSA-397014,Reactome,926
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,Reactome,927
MyD88 Deficiency (TLR2/4) R-HSA-5602498,Reactome,928
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,Reactome,929
MyD88-independent TLR4 Cascade R-HSA-166166,Reactome,930
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,Reactome,931
Myoclonic Epilepsy Of Lafora R-HSA-3785653,Reactome,932
Myogenesis R-HSA-525793,Reactome,933
N-Glycan Antennae Elongation R-HSA-975577,Reactome,934
N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576,Reactome,935
N-glycan Trimming And Elongation In cis-Golgi R-HSA-964739,Reactome,936
N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668,Reactome,937
NADE Modulates Death Signaling R-HSA-205025,Reactome,938
NCAM Signaling For Neurite Out-Growth R-HSA-375165,Reactome,939
NCAM1 Interactions R-HSA-419037,Reactome,940
NEP/NS2 Interacts With Cellular Export Machinery R-HSA-168333,Reactome,941
NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,Reactome,942
NF-kB Is Activated And Signals Survival R-HSA-209560,Reactome,943
NGF-independant TRKA Activation R-HSA-187024,Reactome,944
NGF-stimulated Transcription R-HSA-9031628,Reactome,945
NIK To Noncanonical NF-kB Signaling R-HSA-5676590,Reactome,946
NOD1/2 Signaling Pathway R-HSA-168638,Reactome,947
NOSTRIN Mediated eNOS Trafficking R-HSA-203641,Reactome,948
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,Reactome,949
NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096,Reactome,950
NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563,Reactome,951
NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507,Reactome,952
NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,Reactome,953
NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700,Reactome,954
NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,Reactome,955
NR1H2 And NR1H3 Regulate Gene Expression Linked To Gluconeogenesis R-HSA-9632974,Reactome,956
NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558,Reactome,957
NR1H2 And NR1H3 Regulate Gene Expression Linked To Triglyceride Lipolysis In Adipose R-HSA-9031528,Reactome,958
NR1H2 And NR1H3 Regulate Gene Expression To Control Bile Acid Homeostasis R-HSA-9623433,Reactome,959
NR1H2 And NR1H3 Regulate Gene Expression To Limit Cholesterol Uptake R-HSA-9031525,Reactome,960
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,Reactome,961
NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,Reactome,962
NRAGE Signals Death Thru JNK R-HSA-193648,Reactome,963
NRIF Signals Cell Death From Nucleus R-HSA-205043,Reactome,964
NS1 Mediated Effects On Host Pathways R-HSA-168276,Reactome,965
Na+/Cl- Dependent Neurotransmitter Transporters R-HSA-442660,Reactome,966
Nectin/Necl Trans Heterodimerization R-HSA-420597,Reactome,967
Neddylation R-HSA-8951664,Reactome,968
Nef Mediated CD4 Down-regulation R-HSA-167590,Reactome,969
Nef Mediated CD8 Down-regulation R-HSA-182218,Reactome,970
Nef And Signal Transduction R-HSA-164944,Reactome,971
Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940,Reactome,972
Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938,Reactome,973
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,974
Negative Feedback Regulation Of MAPK Pathway R-HSA-5674499,Reactome,975
Negative Regulation Of FGFR1 Signaling R-HSA-5654726,Reactome,976
Negative Regulation Of FGFR2 Signaling R-HSA-5654727,Reactome,977
Negative Regulation Of FGFR3 Signaling R-HSA-5654732,Reactome,978
Negative Regulation Of FGFR4 Signaling R-HSA-5654733,Reactome,979
Negative Regulation Of FLT3 R-HSA-9706369,Reactome,980
Negative Regulation Of MAPK Pathway R-HSA-5675221,Reactome,981
Negative Regulation Of MET Activity R-HSA-6807004,Reactome,982
Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission R-HSA-9617324,Reactome,983
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,Reactome,984
Negative Regulation Of TCF-dependent Signaling By WNT Ligand Antagonists R-HSA-3772470,Reactome,985
Negative Regulation Of Activity Of TFAP2 (AP-2) Family Transcription Factors R-HSA-8866904,Reactome,986
Negative Regulation Of PI3K/AKT Network R-HSA-199418,Reactome,987
Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440,Reactome,988
Nephrin Family Interactions R-HSA-373753,Reactome,989
Nervous System Development R-HSA-9675108,Reactome,990
Netrin Mediated Repulsion Signals R-HSA-418886,Reactome,991
Netrin-1 Signaling R-HSA-373752,Reactome,992
Neurexins And Neuroligins R-HSA-6794361,Reactome,993
Neurofascin Interactions R-HSA-447043,Reactome,994
Neuronal System R-HSA-112316,Reactome,995
Neurotoxicity Of Clostridium Toxins R-HSA-168799,Reactome,996
Neurotransmitter Clearance R-HSA-112311,Reactome,997
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,Reactome,998
Neurotransmitter Release Cycle R-HSA-112310,Reactome,999
Neutrophil Degranulation R-HSA-6798695,Reactome,1000
Nicotinamide Salvaging R-HSA-197264,Reactome,1001
Nicotinate Metabolism R-HSA-196807,Reactome,1002
Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154,Reactome,1003
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,1004
Non-integrin membrane-ECM Interactions R-HSA-3000171,Reactome,1005
Noncanonical Activation Of NOTCH3 R-HSA-9017802,Reactome,1006
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,1007
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,Reactome,1008
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,Reactome,1009
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,Reactome,1010
Notch-HLH Transcription Pathway R-HSA-350054,Reactome,1011
NrCAM Interactions R-HSA-447038,Reactome,1012
Nuclear Envelope (NE) Reassembly R-HSA-2995410,Reactome,1013
Nuclear Envelope Breakdown R-HSA-2980766,Reactome,1014
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,Reactome,1015
Nuclear Pore Complex (NPC) Disassembly R-HSA-3301854,Reactome,1016
Nuclear Receptor Transcription Pathway R-HSA-383280,Reactome,1017
Nuclear Events Mediated By NFE2L2 R-HSA-9759194,Reactome,1018
Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371,Reactome,1019
Nuclear Import Of Rev Protein R-HSA-180746,Reactome,1020
Nuclear Signaling By ERBB4 R-HSA-1251985,Reactome,1021
Nucleotide Excision Repair R-HSA-5696398,Reactome,1022
Nucleotide Biosynthesis R-HSA-8956320,Reactome,1023
Nucleotide Catabolism R-HSA-8956319,Reactome,1024
Nucleotide Salvage R-HSA-8956321,Reactome,1025
"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",Reactome,1026
Nucleotide-like (Purinergic) Receptors R-HSA-418038,Reactome,1027
O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,Reactome,1028
O-linked Glycosylation R-HSA-5173105,Reactome,1029
O-linked Glycosylation Of Mucins R-HSA-913709,Reactome,1030
OAS Antiviral Response R-HSA-8983711,Reactome,1031
Olfactory Signaling Pathway R-HSA-381753,Reactome,1032
Oncogene Induced Senescence R-HSA-2559585,Reactome,1033
Oncogenic MAPK Signaling R-HSA-6802957,Reactome,1034
Opioid Signaling R-HSA-111885,Reactome,1035
Opsins R-HSA-419771,Reactome,1036
Orc1 Removal From Chromatin R-HSA-68949,Reactome,1037
Orexin And Neuropeptides FF And QRFP Bind To Their Respective Receptors R-HSA-389397,Reactome,1038
Organelle Biogenesis And Maintenance R-HSA-1852241,Reactome,1039
Organic Anion Transport R-HSA-561048,Reactome,1040
Organic Anion Transporters R-HSA-428643,Reactome,1041
Organic Cation Transport R-HSA-549127,Reactome,1042
Organic Cation/Anion/Zwitterion Transport R-HSA-549132,Reactome,1043
Other Interleukin Signaling R-HSA-449836,Reactome,1044
Other Semaphorin Interactions R-HSA-416700,Reactome,1045
Ovarian Tumor Domain Proteases R-HSA-5689896,Reactome,1046
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,1047
Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176,Reactome,1048
P2Y Receptors R-HSA-417957,Reactome,1049
PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,Reactome,1050
PCP/CE Pathway R-HSA-4086400,Reactome,1051
PD-1 Signaling R-HSA-389948,Reactome,1052
PECAM1 Interactions R-HSA-210990,Reactome,1053
PERK Regulates Gene Expression R-HSA-381042,Reactome,1054
PI Metabolism R-HSA-1483255,Reactome,1055
PI-3K cascade:FGFR1 R-HSA-5654689,Reactome,1056
PI-3K cascade:FGFR2 R-HSA-5654695,Reactome,1057
PI-3K cascade:FGFR3 R-HSA-5654710,Reactome,1058
PI-3K cascade:FGFR4 R-HSA-5654720,Reactome,1059
PI3K Cascade R-HSA-109704,Reactome,1060
PI3K Events In ERBB2 Signaling R-HSA-1963642,Reactome,1061
PI3K Events In ERBB4 Signaling R-HSA-1250342,Reactome,1062
PI3K/AKT Signaling In Cancer R-HSA-2219528,Reactome,1063
PI3K/AKT Activation R-HSA-198203,Reactome,1064
PI5P Regulates TP53 Acetylation R-HSA-6811555,Reactome,1065
"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",Reactome,1066
PINK1-PRKN Mediated Mitophagy R-HSA-5205685,Reactome,1067
PIP3 Activates AKT Signaling R-HSA-1257604,Reactome,1068
PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884,Reactome,1069
PKA Activation R-HSA-163615,Reactome,1070
PKA Activation In Glucagon Signaling R-HSA-164378,Reactome,1071
PKA-mediated Phosphorylation Of CREB R-HSA-111931,Reactome,1072
PKA-mediated Phosphorylation Of Key Metabolic Factors R-HSA-163358,Reactome,1073
PKMTs Methylate Histone Lysines R-HSA-3214841,Reactome,1074
PLC Beta Mediated Events R-HSA-112043,Reactome,1075
POLB-Dependent Long Patch Base Excision Repair R-HSA-110362,Reactome,1076
"POU5F1 (OCT4), SOX2, NANOG Activate Genes Related To Proliferation R-HSA-2892247",Reactome,1077
"POU5F1 (OCT4), SOX2, NANOG Repress Genes Related To Differentiation R-HSA-2892245",Reactome,1078
PP2A-mediated Dephosphorylation Of Key Metabolic Factors R-HSA-163767,Reactome,1079
PPARA Activates Gene Expression R-HSA-1989781,Reactome,1080
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,1081
PTEN Regulation R-HSA-6807070,Reactome,1082
PTK6 Expression R-HSA-8849473,Reactome,1083
PTK6 Regulates Cell Cycle R-HSA-8849470,Reactome,1084
"PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471",Reactome,1085
PTK6 Regulates RTKs And Their Effectors AKT1 And DOK1 R-HSA-8849469,Reactome,1086
PTK6 Promotes HIF1A Stabilization R-HSA-8857538,Reactome,1087
Packaging Of Telomere Ends R-HSA-171306,Reactome,1088
Paracetamol ADME R-HSA-9753281,Reactome,1089
Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955,Reactome,1090
Passive Transport By Aquaporins R-HSA-432047,Reactome,1091
Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,Reactome,1092
Pentose Phosphate Pathway R-HSA-71336,Reactome,1093
Peptide Chain Elongation R-HSA-156902,Reactome,1094
Peptide Hormone Biosynthesis R-HSA-209952,Reactome,1095
Peptide Hormone Metabolism R-HSA-2980736,Reactome,1096
Peptide Ligand-Binding Receptors R-HSA-375276,Reactome,1097
Peroxisomal Lipid Metabolism R-HSA-390918,Reactome,1098
Peroxisomal Protein Import R-HSA-9033241,Reactome,1099
Pexophagy R-HSA-9664873,Reactome,1100
Phase 0 - Rapid Depolarisation R-HSA-5576892,Reactome,1101
Phase 1 - Inactivation Of Fast Na+ Channels R-HSA-5576894,Reactome,1102
Phase 2 - Plateau Phase R-HSA-5576893,Reactome,1103
Phase 3 - Rapid Repolarisation R-HSA-5576890,Reactome,1104
Phase 4 - Resting Membrane Potential R-HSA-5576886,Reactome,1105
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,1106
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,1107
Phenylalanine And Tyrosine Metabolism R-HSA-8963691,Reactome,1108
Phenylalanine Metabolism R-HSA-8964208,Reactome,1109
Phosphate Bond Hydrolysis By NTPDase Proteins R-HSA-8850843,Reactome,1110
Phosphate Bond Hydrolysis By NUDT Proteins R-HSA-2393930,Reactome,1111
Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219,Reactome,1112
Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,Reactome,1113
Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227,Reactome,1114
Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228,Reactome,1115
Phospholipid Metabolism R-HSA-1483257,Reactome,1116
Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,Reactome,1117
Phosphorylation Of Emi1 R-HSA-176417,Reactome,1118
Phosphorylation Of APC/C R-HSA-176412,Reactome,1119
Physiological Factors R-HSA-5578768,Reactome,1120
Plasma Lipoprotein Assembly R-HSA-8963898,Reactome,1121
"Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824",Reactome,1122
Plasma Lipoprotein Clearance R-HSA-8964043,Reactome,1123
Plasma Lipoprotein Remodeling R-HSA-8963899,Reactome,1124
Platelet Adhesion To Exposed Collagen R-HSA-75892,Reactome,1125
Platelet Aggregation (Plug Formation) R-HSA-76009,Reactome,1126
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome,1127
Platelet Calcium Homeostasis R-HSA-418360,Reactome,1128
Platelet Degranulation R-HSA-114608,Reactome,1129
Platelet Homeostasis R-HSA-418346,Reactome,1130
Platelet Sensitization By LDL R-HSA-432142,Reactome,1131
Polo-like Kinase Mediated Events R-HSA-156711,Reactome,1132
Polymerase Switching On C-strand Of Telomere R-HSA-174411,Reactome,1133
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,1134
Post NMDA Receptor Activation Events R-HSA-438064,Reactome,1135
Post-chaperonin Tubulin Folding Pathway R-HSA-389977,Reactome,1136
Post-transcriptional Silencing By Small RNAs R-HSA-426496,Reactome,1137
Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,Reactome,1138
Post-translational Protein Modification R-HSA-597592,Reactome,1139
Post-translational Protein Phosphorylation R-HSA-8957275,Reactome,1140
Postmitotic Nuclear Pore Complex (NPC) Reformation R-HSA-9615933,Reactome,1141
Potassium Channels R-HSA-1296071,Reactome,1142
Potential Therapeutics For SARS R-HSA-9679191,Reactome,1143
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,1144
Pre-NOTCH Processing In Golgi R-HSA-1912420,Reactome,1145
Pre-NOTCH Processing In Endoplasmic Reticulum R-HSA-1912399,Reactome,1146
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,1147
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,Reactome,1148
Pregnenolone Biosynthesis R-HSA-196108,Reactome,1149
Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,Reactome,1150
Presynaptic Function Of Kainate Receptors R-HSA-500657,Reactome,1151
Presynaptic Nicotinic Acetylcholine Receptors R-HSA-622323,Reactome,1152
Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,Reactome,1153
Prevention Of Phagosomal-Lysosomal Fusion R-HSA-9636383,Reactome,1154
Processing And Activation Of SUMO R-HSA-3215018,Reactome,1155
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,Reactome,1156
Processing Of Capped Intronless Pre-mRNA R-HSA-75067,Reactome,1157
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,1158
Processing Of Intronless Pre-mRNAs R-HSA-77595,Reactome,1159
Processing Of SMDT1 R-HSA-8949664,Reactome,1160
Processive Synthesis On C-strand Of Telomere R-HSA-174414,Reactome,1161
Processive Synthesis On Lagging Strand R-HSA-69183,Reactome,1162
Programmed Cell Death R-HSA-5357801,Reactome,1163
Prolactin Receptor Signaling R-HSA-1170546,Reactome,1164
Prolonged ERK Activation Events R-HSA-169893,Reactome,1165
Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851,Reactome,1166
Prostanoid Ligand Receptors R-HSA-391908,Reactome,1167
Protein Folding R-HSA-391251,Reactome,1168
Protein Localization R-HSA-9609507,Reactome,1169
Protein Methylation R-HSA-8876725,Reactome,1170
Protein Repair R-HSA-5676934,Reactome,1171
Protein Ubiquitination R-HSA-8852135,Reactome,1172
Protein-protein Interactions At Synapses R-HSA-6794362,Reactome,1173
Proton-coupled Monocarboxylate Transport R-HSA-433692,Reactome,1174
Purine Catabolism R-HSA-74259,Reactome,1175
Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817,Reactome,1176
Purine Salvage R-HSA-74217,Reactome,1177
Pyrimidine Catabolism R-HSA-73621,Reactome,1178
Pyrimidine Salvage R-HSA-73614,Reactome,1179
Pyroptosis R-HSA-5620971,Reactome,1180
Pyruvate Metabolism R-HSA-70268,Reactome,1181
Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,Reactome,1182
RA Biosynthesis Pathway R-HSA-5365859,Reactome,1183
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198,Reactome,1184
RAB Geranylgeranylation R-HSA-8873719,Reactome,1185
RAC1 GTPase Cycle R-HSA-9013149,Reactome,1186
RAC2 GTPase Cycle R-HSA-9013404,Reactome,1187
RAC3 GTPase Cycle R-HSA-9013423,Reactome,1188
RAF Activation R-HSA-5673000,Reactome,1189
RAF-independent MAPK1/3 Activation R-HSA-112409,Reactome,1190
RAF/MAP Kinase Cascade R-HSA-5673001,Reactome,1191
RAS Processing R-HSA-9648002,Reactome,1192
RAS Signaling Downstream Of NF1 Loss-Of-Function Variants R-HSA-6802953,Reactome,1193
RET Signaling R-HSA-8853659,Reactome,1194
RHO GTPase Effectors R-HSA-195258,Reactome,1195
RHO GTPase Cycle R-HSA-9012999,Reactome,1196
RHO GTPases Activate Formins R-HSA-5663220,Reactome,1197
RHO GTPases Activate NADPH Oxidases R-HSA-5668599,Reactome,1198
RHO GTPases Activate ROCKs R-HSA-5627117,Reactome,1199
RHO GTPases Activate Rhotekin And Rhophilins R-HSA-5666185,Reactome,1200
RHO GTPases Activate WASPs And WAVEs R-HSA-5663213,Reactome,1201
RHO GTPases Activate CIT R-HSA-5625900,Reactome,1202
RHO GTPases Activate IQGAPs R-HSA-5626467,Reactome,1203
RHO GTPases Activate KTN1 R-HSA-5625970,Reactome,1204
RHO GTPases Activate PAKs R-HSA-5627123,Reactome,1205
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,1206
RHOA GTPase Cycle R-HSA-8980692,Reactome,1207
RHOB GTPase Cycle R-HSA-9013026,Reactome,1208
RHOBTB GTPase Cycle R-HSA-9706574,Reactome,1209
RHOBTB1 GTPase Cycle R-HSA-9013422,Reactome,1210
RHOBTB2 GTPase Cycle R-HSA-9013418,Reactome,1211
RHOBTB3 ATPase Cycle R-HSA-9706019,Reactome,1212
RHOC GTPase Cycle R-HSA-9013106,Reactome,1213
RHOD GTPase Cycle R-HSA-9013405,Reactome,1214
RHOF GTPase Cycle R-HSA-9035034,Reactome,1215
RHOG GTPase Cycle R-HSA-9013408,Reactome,1216
RHOH GTPase Cycle R-HSA-9013407,Reactome,1217
